Year,서비스유형별,동･읍면부별,성별,가구소득별,Value
2018,소방 서비스,,여자,,81.2
2019,소방 서비스,,여자,,52.0
2017,소방 서비스,,,100만원 미만,56.4
2018,소방 서비스,,,100만원 미만,61.6
2019,소방 서비스,,,100만원 미만,70.9
2017,소방 서비스,,,100~200만원 미만,69.1
2018,소방 서비스,,,100~200만원 미만,71.8
2019,소방 서비스,,,100~200만원 미만,74.1
2017,소방 서비스,,,200~300만원 미만,62.9
2018,소방 서비스,,,200~300만원 미만,82.2
2019,소방 서비스,,,200~300만원 미만,68.8
2017,소방 서비스,,,300~400만원 미만,59.4
2018,소방 서비스,,,300~400만원 미만,93.7
2019,소방 서비스,,,300~400만원 미만,85.7
2017,소방 서비스,,,400~500만원 미만,69.5
2018,소방 서비스,,,400~500만원 미만,90.7
2019,소방 서비스,,,400~500만원 미만,55.1
2017,소방 서비스,,,500~600만원 미만,71.5
2018,소방 서비스,,,500~600만원 미만,89.2
2019,소방 서비스,,,500~600만원 미만,57.2
2017,소방 서비스,,,600만원 이상,66.3
2018,소방 서비스,,,600만원 이상,74.0
2019,소방 서비스,,,600만원 이상,60.4
2018,교육 서비스,,,,63.4
2019,교육 서비스,,,,65.2
2018,교육 서비스,,남자,,61.3
2019,교육 서비스,,남자,,66.2
2018,교육 서비스,,여자,,65.3
2019,교육 서비스,,여자,,64.2
2018,교육 서비스,,,100만원 미만,37.9
2019,교육 서비스,,,100만원 미만,58.9
2018,교육 서비스,,,100~200만원 미만,84.6
2019,교육 서비스,,,100~200만원 미만,50.2
2018,교육 서비스,,,200~300만원 미만,54.9
2019,교육 서비스,,,200~300만원 미만,63.6
2018,교육 서비스,,,300~400만원 미만,58.6
2019,교육 서비스,,,300~400만원 미만,66.8
2018,교육 서비스,,,400~500만원 미만,52.5
2019,교육 서비스,,,400~500만원 미만,74.6
2018,교육 서비스,,,500~600만원 미만,77.1
2019,교육 서비스,,,500~600만원 미만,64.6
2018,교육 서비스,,,600만원 이상,71.1
2019,교육 서비스,,,600만원 이상,62.4
2018,보건 서비스,,,,80.1
2019,보건 서비스,,,,72.9
2018,보건 서비스,도시(동부),,,81.2
2019,보건 서비스,도시(동부),,,70.3
2018,보건 서비스,농어촌(읍면부),,,75.7
2019,보건 서비스,농어촌(읍면부),,,84.7
2018,보건 서비스,,남자,,78.9
2019,보건 서비스,,남자,,72.0
2018,보건 서비스,,여자,,81.1
2019,보건 서비스,,여자,,73.6
2018,보건 서비스,,,100만원 미만,76.0
2019,보건 서비스,,,100만원 미만,82.1
2018,보건 서비스,,,100~200만원 미만,81.1
2019,보건 서비스,,,100~200만원 미만,74.9
2018,보건 서비스,,,200~300만원 미만,79.6
2019,보건 서비스,,,200~300만원 미만,72.2
2018,보건 서비스,,,300~400만원 미만,80.0
2019,보건 서비스,,,300~400만원 미만,75.4
2018,보건 서비스,,,400~500만원 미만,79.9
2019,보건 서비스,,,400~500만원 미만,73.5
2018,보건 서비스,,,500~600만원 미만,81.4
2019,보건 서비스,,,500~600만원 미만,71.2
2018,보건 서비스,,,600만원 이상,80.4
2019,보건 서비스,,,600만원 이상,69.9
