Year,Units,data.Type_of_product,Value
2007,GDP당 국내물질소비량(kg/USD),금속광석,0.06437
2007,GDP당 국내물질소비량(kg/USD),비금속광석,0.05716
2007,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01386
2007,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.43191
2007,GDP당 국내물질소비량(kg/USD),비급속광물,0.43923
2007,GDP당 국내물질소비량(kg/USD),석유,0.10414
2007,GDP당 국내물질소비량(kg/USD),RAW,0.80013
2007,GDP당 국내물질소비량(kg/USD),자연수확,0.0028
2007,GDP당 국내물질소비량(kg/USD),나무,0.00775
2008,GDP당 국내물질소비량(kg/USD),바이오매스,0.07675
2008,GDP당 국내물질소비량(kg/USD),석탄,0.10099
2008,GDP당 국내물질소비량(kg/USD),작물잔해,0.00679
2008,GDP당 국내물질소비량(kg/USD),작물,0.04278
2008,GDP당 국내물질소비량(kg/USD),철광석,0.06009
2008,GDP당 국내물질소비량(kg/USD),화석연료,0.22493
2008,GDP당 국내물질소비량(kg/USD),천연가스,0.0281
2008,GDP당 국내물질소비량(kg/USD),사료작물,0.01386
2008,GDP당 국내물질소비량(kg/USD),금속광석,0.06793
2008,GDP당 국내물질소비량(kg/USD),비금속광석,0.06009
2008,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01386
2008,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.4058
2008,GDP당 국내물질소비량(kg/USD),비급속광물,0.41319
2008,GDP당 국내물질소비량(kg/USD),석유,0.09584
2008,GDP당 국내물질소비량(kg/USD),RAW,0.78279
2008,GDP당 국내물질소비량(kg/USD),자연수확,0.00248
2008,GDP당 국내물질소비량(kg/USD),나무,0.00833
2009,GDP당 국내물질소비량(kg/USD),바이오매스,0.07503
2009,GDP당 국내물질소비량(kg/USD),석탄,0.1029
2009,GDP당 국내물질소비량(kg/USD),작물잔해,0.00677
2009,GDP당 국내물질소비량(kg/USD),작물,0.04497
2009,GDP당 국내물질소비량(kg/USD),철광석,0.04565
2009,GDP당 국내물질소비량(kg/USD),화석연료,0.22808
2009,GDP당 국내물질소비량(kg/USD),천연가스,0.0255
2009,GDP당 국내물질소비량(kg/USD),사료작물,0.01516
2009,GDP당 국내물질소비량(kg/USD),금속광석,0.05366
