Year,Units,data.Type_of_product,Value
2005,data.Kilograms_per_constant_2010_USD,data.GAS,0.02537
2005,data.Kilograms_per_constant_2010_USD,data.GBO,0.01347
2005,data.Kilograms_per_constant_2010_USD,data.MEO,0.06433
2005,data.Kilograms_per_constant_2010_USD,data.NFO,0.05648
2005,data.Kilograms_per_constant_2010_USD,data.NMA,0.01367
2005,data.Kilograms_per_constant_2010_USD,data.NMC,0.46007
2005,data.Kilograms_per_constant_2010_USD,data.NMM,0.46693
2005,data.Kilograms_per_constant_2010_USD,data.PET,0.11187
2005,data.Kilograms_per_constant_2010_USD,data.RAW,0.83937
2005,data.Kilograms_per_constant_2010_USD,data.WCH,0.00282
2005,data.Kilograms_per_constant_2010_USD,data.WOD,0.00811
2006,data.Kilograms_per_constant_2010_USD,data.BIM,0.0774
2006,data.Kilograms_per_constant_2010_USD,data.COL,0.08804
2006,data.Kilograms_per_constant_2010_USD,data.CPR,0.00683
2006,data.Kilograms_per_constant_2010_USD,data.CRO,0.04705
2006,data.Kilograms_per_constant_2010_USD,data.FEO,0.05287
2006,data.Kilograms_per_constant_2010_USD,data.FOF,0.22524
2006,data.Kilograms_per_constant_2010_USD,data.GAS,0.0272
2006,data.Kilograms_per_constant_2010_USD,data.GBO,0.0129
2006,data.Kilograms_per_constant_2010_USD,data.MEO,0.06068
2006,data.Kilograms_per_constant_2010_USD,data.NFO,0.05287
2006,data.Kilograms_per_constant_2010_USD,data.NMA,0.01262
2006,data.Kilograms_per_constant_2010_USD,data.NMC,0.43491
2006,data.Kilograms_per_constant_2010_USD,data.NMM,0.44083
2006,data.Kilograms_per_constant_2010_USD,data.PET,0.11001
2006,data.Kilograms_per_constant_2010_USD,data.RAW,0.80416
2006,data.Kilograms_per_constant_2010_USD,data.WCH,0.00298
2006,data.Kilograms_per_constant_2010_USD,data.WOD,0.00783
2007,data.Kilograms_per_constant_2010_USD,data.BIM,0.07394
2007,data.Kilograms_per_constant_2010_USD,data.COL,0.09242
2007,data.Kilograms_per_constant_2010_USD,data.CPR,0.00621
2007,data.Kilograms_per_constant_2010_USD,data.CRO,0.04443
2007,data.Kilograms_per_constant_2010_USD,data.FEO,0.05716
2007,data.Kilograms_per_constant_2010_USD,data.FOF,0.2226
2007,data.Kilograms_per_constant_2010_USD,data.GAS,0.02604
2007,data.Kilograms_per_constant_2010_USD,data.GBO,0.01319
2007,data.Kilograms_per_constant_2010_USD,data.MEO,0.06437
2007,data.Kilograms_per_constant_2010_USD,data.NFO,0.05716
2007,data.Kilograms_per_constant_2010_USD,data.NMA,0.01386
2007,data.Kilograms_per_constant_2010_USD,data.NMC,0.43191
2007,data.Kilograms_per_constant_2010_USD,data.NMM,0.43923
2007,data.Kilograms_per_constant_2010_USD,data.PET,0.10414
2007,data.Kilograms_per_constant_2010_USD,data.RAW,0.80013
2007,data.Kilograms_per_constant_2010_USD,data.WCH,0.0028
2007,data.Kilograms_per_constant_2010_USD,data.WOD,0.00775
2008,data.Kilograms_per_constant_2010_USD,data.BIM,0.07675
2008,data.Kilograms_per_constant_2010_USD,data.COL,0.10099
2008,data.Kilograms_per_constant_2010_USD,data.CPR,0.00679
